z Ex_real Ex_imag Ey_real Ey_imag Ez_real Ez_imag Hx_real Hx_imag Hy_real Hx_imag Hz_real Hz_imag Rho_A
0.10000000000000D+04 -0.19225989405343D-12 -0.74928659329114D-13 0.00000000000000D+00 0.00000000000000D+00 -0.12719622897069D-12 0.71153020255030D-15 0.00000000000000D+00 0.00000000000000D+00 0.18292466477672D-09 -0.80627714443950D-10 0.00000000000000D+00 0.00000000000000D+00 1.0
0.12000000000000D+04 -0.21501083015529D-12 -0.22623255442028D-12 0.00000000000000D+00 0.00000000000000D+00 -0.13987574924905D-12 -0.27982058647747D-13 0.00000000000000D+00 0.00000000000000D+00 0.22505683921318D-09 -0.50456384141769D-10 0.00000000000000D+00 0.00000000000000D+00 1.0
0.14000000000000D+04 -0.20266714744283D-12 -0.40497552077424D-12 0.00000000000000D+00 0.00000000000000D+00 -0.14049706821526D-12 -0.72504867188022D-13 0.00000000000000D+00 0.00000000000000D+00 0.26867727445105D-09 0.13233544738144D-10 0.00000000000000D+00 0.00000000000000D+00 1.0
0.16000000000000D+04 -0.13114117563634D-12 -0.60818103685394D-12 0.00000000000000D+00 0.00000000000000D+00 -0.12363868378279D-12 -0.13241890947633D-12 0.00000000000000D+00 0.00000000000000D+00 0.30437907304483D-09 0.11565039046942D-09 0.00000000000000D+00 0.00000000000000D+00 1.0
0.18000000000000D+04 0.26787516306325D-13 -0.82391399010741D-12 0.00000000000000D+00 0.00000000000000D+00 -0.82383021410837D-13 -0.20537130814588D-12 0.00000000000000D+00 0.00000000000000D+00 0.31761999611302D-09 0.26055510917877D-09 0.00000000000000D+00 0.00000000000000D+00 1.0
0.20000000000000D+04 0.29957613583122D-12 -0.10273169207091D-11 0.00000000000000D+00 0.00000000000000D+00 -0.85774897321855D-12 -0.28592770469531D-10 0.00000000000000D+00 0.00000000000000D+00 0.28825080489808D-09 0.44809153634795D-09 0.00000000000000D+00 0.00000000000000D+00 100.0
0.22000000000000D+04 -0.95097602764831D-13 0.89507471621572D-12 0.00000000000000D+00 0.00000000000000D+00 -0.42341044523508D-13 -0.24801730852276D-12 0.00000000000000D+00 0.00000000000000D+00 0.30625289912181D-09 0.35560272083704D-09 0.00000000000000D+00 0.00000000000000D+00 1.0
0.24000000000000D+04 0.11911042349910D-12 0.68664861330032D-12 0.00000000000000D+00 0.00000000000000D+00 -0.84138672728367D-13 -0.17565769705145D-12 0.00000000000000D+00 0.00000000000000D+00 0.30320287571214D-09 0.19916156677018D-09 0.00000000000000D+00 0.00000000000000D+00 1.0
0.26000000000000D+04 0.23392307793705D-12 0.48641970258798D-12 0.00000000000000D+00 0.00000000000000D+00 -0.99810432910188D-13 -0.11315529350686D-12 0.00000000000000D+00 0.00000000000000D+00 0.26779464084495D-09 0.83804144255156D-10 0.00000000000000D+00 0.00000000000000D+00 1.0
0.28000000000000D+04 0.27677550195648D-12 0.31333536173487D-12 0.00000000000000D+00 0.00000000000000D+00 -0.98216992893429D-13 -0.63469161247396D-13 0.00000000000000D+00 0.00000000000000D+00 0.21709111656564D-09 0.57371718192162D-11 0.00000000000000D+00 0.00000000000000D+00 1.0
0.30000000000000D+04 0.27201522794987D-12 0.17562775635967D-12 0.00000000000000D+00 0.00000000000000D+00 -0.86546172880405D-13 -0.26917037207837D-13 0.00000000000000D+00 0.00000000000000D+00 0.16293676059387D-09 -0.41463427443159D-10 0.00000000000000D+00 0.00000000000000D+00 1.0
0.32000000000000D+04 0.23942884433590D-12 0.74241511393599D-13 0.00000000000000D+00 0.00000000000000D+00 -0.70185596789538D-13 -0.22157971792352D-14 0.00000000000000D+00 0.00000000000000D+00 0.11274965128488D-09 -0.65063051815241D-10 0.00000000000000D+00 0.00000000000000D+00 1.0
0.34000000000000D+04 0.19387850326133D-12 0.56875927958692D-14 0.00000000000000D+00 0.00000000000000D+00 -0.52850484955599D-13 0.12720972931029D-13 0.00000000000000D+00 0.00000000000000D+00 0.70489325996497D-10 -0.72011486809196D-10 0.00000000000000D+00 0.00000000000000D+00 1.0
0.36000000000000D+04 0.14563877398949D-12 -0.35764442310378D-13 0.00000000000000D+00 0.00000000000000D+00 -0.36848393682007D-13 0.20219837480317D-13 0.00000000000000D+00 0.00000000000000D+00 0.37620008289637D-10 -0.68291903251418D-10 0.00000000000000D+00 0.00000000000000D+00 1.0
0.38000000000000D+04 0.10111162018768D-12 -0.56533668711650D-13 0.00000000000000D+00 0.00000000000000D+00 -0.23395110584473D-13 0.22487207588056D-13 0.00000000000000D+00 0.00000000000000D+00 0.13962534856360D-10 -0.58643519491574D-10 0.00000000000000D+00 0.00000000000000D+00 1.0
0.40000000000000D+04 0.63685431427466D-13 -0.62729347446617D-13 0.00000000000000D+00 0.00000000000000D+00 -0.12924947715108D-13 0.21410061964484D-13 0.00000000000000D+00 0.00000000000000D+00 -0.16158287609058D-11 -0.46537194023213D-10 0.00000000000000D+00 0.00000000000000D+00 1.0
