z Ex_real Ex_imag Ey_real Ey_imag Ez_real Ez_imag Hx_real Hx_imag Hy_real Hy_imag Hz_real Hz_imag Rho_A         
0.10000000000000D+04 -0.99067825734065D-13 0.48707570310872D-13 0.00000000000000D+00 0.00000000000000D+00 -0.34863234148259D-13 0.44641605037813D-13 0.00000000000000D+00 0.00000000000000D+00 0.27383017379105D-10 -0.81181885999970D-10 0.00000000000000D+00 0.00000000000000D+00 1.0         
0.12000000000000D+04 -0.18794259605131D-12 -0.94291072604666D-14 0.00000000000000D+00 0.00000000000000D+00 -0.53058062899733D-13 0.39165932559190D-13 0.00000000000000D+00 0.00000000000000D+00 0.56324270961440D-10 -0.85839434407410D-10 0.00000000000000D+00 0.00000000000000D+00 1.0         
0.14000000000000D+04 -0.27080836308026D-12 -0.10880115656313D-12 0.00000000000000D+00 0.00000000000000D+00 -0.75522320073894D-13 0.18333475312995D-13 0.00000000000000D+00 0.00000000000000D+00 0.10289930847089D-09 -0.75012223405542D-10 0.00000000000000D+00 0.00000000000000D+00 1.0         
0.16000000000000D+04 -0.32515656567979D-12 -0.26510246838025D-12 0.00000000000000D+00 0.00000000000000D+00 -0.97343126743242D-13 -0.21884722141022D-13 0.00000000000000D+00 0.00000000000000D+00 0.16379886610577D-09 -0.38814991415961D-10 0.00000000000000D+00 0.00000000000000D+00 1.0         
0.18000000000000D+04 -0.31636326781650D-12 -0.48694555702513D-12 0.00000000000000D+00 0.00000000000000D+00 -0.10999919325814D-12 -0.84849197756318D-13 0.00000000000000D+00 0.00000000000000D+00 0.23003625954666D-09 0.35169019726967D-10 0.00000000000000D+00 0.00000000000000D+00 1.0         
0.20000000000000D+04 -0.19623293600570D-12 -0.76816794187848D-12 0.00000000000000D+00 0.00000000000000D+00 -0.10061382383128D-10 -0.17139562842531D-10 0.00000000000000D+00 0.00000000000000D+00 0.28434117298612D-09 0.15975231388127D-09 0.00000000000000D+00 0.00000000000000D+00 100.0         
0.22000000000000D+04 0.26624924056334D-12 0.59729375995656D-12 0.00000000000000D+00 0.00000000000000D+00 -0.10934768339441D-12 -0.12921470247562D-12 0.00000000000000D+00 0.00000000000000D+00 0.26202436459883D-09 0.92653459145262D-10 0.00000000000000D+00 0.00000000000000D+00 1.0         
0.24000000000000D+04 0.32779039996129D-12 0.34331656783210D-12 0.00000000000000D+00 0.00000000000000D+00 -0.10628066566094D-12 -0.61632472259018D-13 0.00000000000000D+00 0.00000000000000D+00 0.20151915250276D-09 -0.57261571240272D-12 0.00000000000000D+00 0.00000000000000D+00 1.0         
0.26000000000000D+04 0.30801489673309D-12 0.15491222040191D-12 0.00000000000000D+00 0.00000000000000D+00 -0.87776265979154D-13 -0.16241737390256D-13 0.00000000000000D+00 0.00000000000000D+00 0.13757288926714D-09 -0.49512751891657D-10 0.00000000000000D+00 0.00000000000000D+00 1.0         
0.28000000000000D+04 0.24866184340554D-12 0.31017126547830D-13 0.00000000000000D+00 0.00000000000000D+00 -0.64114372888791D-13 0.10262706256027D-13 0.00000000000000D+00 0.00000000000000D+00 0.82024194581490D-10 -0.67390452150689D-10 0.00000000000000D+00 0.00000000000000D+00 1.0         
0.30000000000000D+04 0.17795843614369D-12 -0.39227203916944D-13 0.00000000000000D+00 0.00000000000000D+00 -0.41508272066809D-13 0.22628639526905D-13 0.00000000000000D+00 0.00000000000000D+00 0.39742664473157D-10 -0.66103730392159D-10 0.00000000000000D+00 0.00000000000000D+00 1.0         
0.32000000000000D+04 0.11253339321605D-12 -0.70081999745034D-13 0.00000000000000D+00 0.00000000000000D+00 -0.23047076407434D-13 0.25600634148052D-13 0.00000000000000D+00 0.00000000000000D+00 0.11165107915048D-10 -0.54953658263072D-10 0.00000000000000D+00 0.00000000000000D+00 1.0         
0.34000000000000D+04 0.60275278440953D-13 -0.75315035056797D-13 0.00000000000000D+00 0.00000000000000D+00 -0.96896938051563D-14 0.23163232035567D-13 0.00000000000000D+00 0.00000000000000D+00 -0.56656051381474D-11 -0.40393347019663D-10 0.00000000000000D+00 0.00000000000000D+00 1.0         
0.36000000000000D+04 0.23228788147736D-13 -0.66236699035566D-13 0.00000000000000D+00 0.00000000000000D+00 -0.11263950536165D-14 0.18266381786274D-13 0.00000000000000D+00 0.00000000000000D+00 -0.13648914767040D-10 -0.26352018341348D-10 0.00000000000000D+00 0.00000000000000D+00 1.0         
0.38000000000000D+04 0.47391112963622D-16 -0.51063337955856D-13 0.00000000000000D+00 0.00000000000000D+00 0.35671443583464D-14 0.12847411521228D-13 0.00000000000000D+00 0.00000000000000D+00 -0.15715158712210D-10 -0.14808551694295D-10 0.00000000000000D+00 0.00000000000000D+00 1.0         
0.40000000000000D+04 -0.12179096437023D-13 -0.35078135633131D-13 0.00000000000000D+00 0.00000000000000D+00 0.54893381766787D-14 0.80046457550293D-14 0.00000000000000D+00 0.00000000000000D+00 -0.14343157090372D-10 -0.64038761437302D-11 0.00000000000000D+00 0.00000000000000D+00 1.0       0.00000000000000D+00  0.00000000000000D+00
